Country,Code,URL,Geometry,Hazard and exposure,Vulnerability,Lack of coping capacity,Global Age and Disaster Risk,Rank
Afghanistan,AFG,Afghanistan,"<Polygon><outerBoundaryIs><LinearRing><coordinates>74.915741,37.237328 74.392212,37.175072 74.56543,37.027817 72.55664,36.821266 71.243576,36.129715 71.649429,35.424995 70.987488,34.551102 71.08194,34.055824 69.906372,34.035271 70.326935,33.33194 69.505264,33.03416 69.328247,31.940365 68.833054,31.603886 68.166092,31.833054 67.575546,31.53194 67.77805,31.332218 66.723038,31.212215 66.395538,30.94083 66.256653,29.85194 62.484436,29.406105 60.868599,29.863884 61.851105,31.021111 61.713608,31.383331 60.84388,31.498329 60.582497,33.066101 60.943047,33.51944 60.527771,33.644157 60.508331,34.140274 60.878876,34.319717 60.721657,34.522217 61.276558,35.607246 62.309158,35.141663 62.722214,35.254715 63.10527,35.450829 63.119438,35.861938 64.503601,36.280548 64.798035,37.124992 65.708878,37.538605 66.53773,37.366379 67.779877,37.185822 68.05801,36.932526 68.887772,37.3386 69.315262,37.11527 69.515823,37.58083 70.155823,37.536232 70.16138,37.933372 70.967209,38.472115 71.363037,38.248497 71.252777,37.922035 71.591934,37.902618 71.429428,37.07583 71.6772,36.67601 73.307205,37.462753 74.915741,37.237328</coordinates></LinearRing></outerBoundaryIs></Polygon>",8.7,7.3,8.2,8.0,3
Albania,ALB,Albania,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates> 19.39731979370117,42.31707000732422,0 19.46970939636231,42.39999008178711,0 19.63582992553711,42.6060905456543,0 19.71748924255371,42.66136932373048,0 19.75583076477051,42.63970947265625,0 19.74666023254395,42.54304885864258,0 19.83027076721192,42.46969985961914,0 20.06415939331055,42.56304168701172,0 20.07272338867188,42.55844116210938,0 20.16860008239746,42.50693893432617,0 20.25222015380859,42.32442855834961,0 20.35165977478027,42.32442855834961,0 20.52610015869141,42.21165084838867,0 20.62083053588867,41.94971084594727,0 20.58964729309082,41.88455200195313,0 20.51416015625,41.72776031494141,0 20.55526924133301,41.58470916748048,0 20.46249008178711,41.5536003112793,0 20.56221008300781,41.40386962890625,0 20.49332046508789,41.32748031616211,0 20.59749031066895,41.09415054321289,0 20.64491081237793,41.09014892578125,0 20.66999053955078,41.08803939819336,0 20.73387908935547,40.91193008422852,0 20.73974990844727,40.91099166870117,0 20.8075008392334,40.90026092529297,0 20.85887908935547,40.93331909179688,0 20.98299980163574,40.89387893676758,0 20.98324966430664,40.85702133178712,0 20.96681022644043,40.79117965698242,0 20.96194076538086,40.77164840698242,0 21.03041076660156,40.69935989379883,0 21.03146934509277,40.69824981689454,0 21.05194091796875,40.67665100097656,0 21.05304908752441,40.61859130859376,0 20.93693923950195,40.46443176269532,0 20.84222030639648,40.47497940063477,0 20.7872200012207,40.39471054077148,0 20.66526985168457,40.09415054321289,0 20.55583000183106,40.06637954711914,0 20.51361083984375,40.08137893676758,0 20.41276931762695,40.05109024047852,0 20.3941593170166,39.99914932250977,0 20.31472015380859,39.99026107788086,0 20.36305046081543,39.90748977661133,0 20.41054916381836,39.81193161010742,0 20.38138008117676,39.78720855712891,0 20.29137992858887,39.80664825439454,0 20.302490234375,39.7783203125,0 20.26055908203125,39.6677589416504,0 20.01230049133301,39.69023132324219,0 19.9961109161377,39.79470825195313,0 20.0191593170166,39.84859848022461,0 19.79499053955078,40.0536003112793,0 19.45610046386719,40.22248840332031,0 19.28860092163086,40.41748809814453,0 19.31888008117676,40.43888092041017,0 19.41888999938965,40.32693099975587,0 19.4708309173584,40.3419303894043,0 19.48777008056641,40.44081878662109,0 19.42971992492677,40.49971008300781,0 19.45582962036133,40.56110000610352,0 19.39583015441895,40.58110046386719,0 19.31221961975098,40.64054107666016,0 19.413330078125,40.86637878417969,0 19.37722015380859,40.9044303894043,0 19.44165992736816,40.94305038452148,0 19.42583084106445,40.87054061889648,0 19.5213794708252,40.90803909301758,0 19.49749946594238,41.00193023681642,0 19.4747200012207,40.98637008666992,0 19.4336109161377,41.01081848144531,0 19.51361083984375,41.25193023681641,0 19.50027084350586,41.29275894165039,0 19.41638946533203,41.32387924194336,0 19.39055061340332,41.40526962280273,0 19.4336109161377,41.39942932128906,0 19.51472091674805,41.50249099731446,0 19.50860977172852,41.53470993041992,0 19.4588794708252,41.55471038818359,0 19.44693946838379,41.58499145507813,0 19.50999069213867,41.56914901733398,0 19.60610961914063,41.60165023803711,0 19.56638908386231,41.75276947021484,0 19.59804916381836,41.77109909057617,0 19.59666061401367,41.81055068969727,0 19.36845970153809,41.84931945800781,0 19.38109970092773,41.99943161010742,0 19.39509010314941,42.087890625,0 19.39833068847656,42.10831832885742,0 19.28248977661133,42.18553924560547,0 19.39731979370117,42.31707000732422,0 </coordinates> </LinearRing> </outerBoundaryIs> </Polygon>",2.0,2.9,5.5,3.2,112
Algeria,DZA,Algeria,"<Polygon><outerBoundaryIs><LinearRing><coordinates>2.96361,36.802216 4.785832,36.894722 5.328055,36.640274 6.398333,37.086388 8.62203,36.941368 8.183611,36.524162 8.251665,34.64444 7.492499,33.887497 8.34861,32.533333 9.055277,32.099998 9.537113,30.23439 9.30389,30.122498 9.766388,29.427776 9.948332,27.824444 9.871666,26.514164 9.398333,26.153332 10.25222,24.60583 11.558887,24.3025 11.986475,23.522305 7.450807,20.852863 5.812499,19.44611 4.245277,19.146664 3.331944,18.976387 3.233055,19.820274 1.79583,20.308331 1.1675,20.741108 1.169662,21.102543 -4.80611,25.000275 -6.662778,26.129166 -8.66679,27.29046 -8.66667,27.666664 -8.66722,28.709442 -7.12389,29.636944 -5.53833,29.902496 -4.920556,30.508053 -3.626667,30.97055 -3.818334,31.69555 -2.853889,32.088333 -1.180556,32.11055 -1.01028,32.508331 -1.668056,33.26111 -1.74722,34.747215 -2.209445,35.085831 0.95,36.450272 2.96361,36.802216</coordinates></LinearRing></outerBoundaryIs></Polygon>",6.2,5.0,5.1,5.4,31
Angola,AGO,Angola,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>11.750834,-16.75528 11.693609,-16.535557 11.775,-16.804726 11.750834,-16.75528</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>13.997499,-5.848612 16.579721,-5.900833 16.941668,-7.19861 17.624166,-8.098057 19.373056,-7.996111 19.53895,-6.996614 20.629747,-6.913881 20.548716,-7.283615 21.782961,-7.280842 21.790556,-9.405556 22.312223,-10.364445 22.253889,-11.209723 23.986208,-10.870461 24.020555,-13.00639 21.998335,-13.004168 22.000151,-16.171661 23.47611,-17.625835 23.284723,-17.662502 20.854166,-18.016392 18.915834,-17.815556 18.45154,-17.389835 13.993219,-17.423946 13.160555,-16.952778 11.752783,-17.254833 11.820833,-16.503056 11.810835,-15.993057 11.73139,-15.846668 12.509722,-13.42528 13.792501,-11.791668 13.773611,-10.684723 12.984446,-9.087502 13.39139,-8.387222 12.245001,-6.098055 13.178881,-5.856329 13.997499,-5.848612</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>13.088888,-4.6625 12.565554,-5.025555 12.526667,-5.724167 12.214552,-5.768555 12.026133,-5.014996 12.779047,-4.38899 13.091391,-4.633055 13.088888,-4.6625</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",3.5,3.4,7.5,4.5,64
Antigua and Barbuda,ATG,Antigua+and+Barbuda,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-61.686668,17.024441 -61.887222,17.10527 -61.79445,17.16333 -61.686668,17.024441</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-61.729172,17.608608 -61.85306,17.583054 -61.873062,17.703888 -61.729172,17.608608</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",3.4,1.7,3.7,2.8,129
